"film_id","title","rental_rate","rental_date","return_date"
338,"Frisco Forrest",4.99,"2006-02-14 15:16:03",NULL
439,"Hunchback Impossible",4.99,"2006-02-14 15:16:03",NULL
253,"Drifter Commandments",4.99,"2006-02-14 15:16:03",NULL
330,"Forrester Comancheros",4.99,"2006-02-14 15:16:03",NULL
385,"Groundhog Uncut",4.99,"2006-02-14 15:16:03",NULL
420,"Holes Brannigan",4.99,"2006-02-14 15:16:03",NULL
243,"Doors President",4.99,"2006-02-14 15:16:03",NULL
251,"Dragonfly Strangers",4.99,"2006-02-14 15:16:03",NULL
219,"Deep Crusade",4.99,"2006-02-14 15:16:03",NULL
300,"Falcon Volume",4.99,"2006-02-14 15:16:03",NULL
243,"Doors President",4.99,"2006-02-14 15:16:03",NULL
354,"Ghost Groundhog",4.99,"2006-02-14 15:16:03",NULL
405,"Haunted Antitrust",4.99,"2006-02-14 15:16:03",NULL
229,"Devil Desire",4.99,"2006-02-14 15:16:03",NULL
21,"American Circus",4.99,"2006-02-14 15:16:03",NULL
86,"Boogie Amelie",4.99,"2006-02-14 15:16:03",NULL
2,"Ace Goldfinger",4.99,"2006-02-14 15:16:03",NULL
183,"Conversation Downhill",4.99,"2006-02-14 15:16:03",NULL
102,"Bubble Grosse",4.99,"2006-02-14 15:16:03",NULL
13,"Ali Forever",4.99,"2006-02-14 15:16:03",NULL
216,"Day Unfaithful",4.99,"2006-02-14 15:16:03",NULL
267,"Eagles Panky",4.99,"2006-02-14 15:16:03",NULL
227,"Details Packer",4.99,"2006-02-14 15:16:03",NULL
127,"Cat Coneheads",4.99,"2006-02-14 15:16:03",NULL
131,"Center Dinosaur",4.99,"2006-02-14 15:16:03",NULL
133,"Chamber Italian",4.99,"2006-02-14 15:16:03",NULL
139,"Chasing Fight",4.99,"2006-02-14 15:16:03",NULL
403,"Harry Idaho",4.99,"2006-02-14 15:16:03",NULL
151,"Cincinatti Whisperer",4.99,"2006-02-14 15:16:03",NULL
451,"Igby Maker",4.99,"2006-02-14 15:16:03",NULL
