"title","description","first_name","last_name"
"Basic Easy","A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat","Penelope","Monroe"
"Bedazzled Married","A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House","Penelope","Monroe"
"Chinatown Gladiator","A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India","Penelope","Monroe"
"Christmas Moonshine","A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse","Penelope","Monroe"
"Dares Pluto","A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans","Penelope","Monroe"
"Dinosaur Secretary","A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies","Penelope","Monroe"
"Doctor Grail","A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback","Penelope","Monroe"
"Driving Polish","A Action-Packed Yarn of a Feminist And a Technical Writer who must Sink a Boat in An Abandoned Mine Shaft","Penelope","Monroe"
"Hellfighters Sierra","A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia","Penelope","Monroe"
"Holocaust Highball","A Awe-Inspiring Yarn of a Composer And a Man who must Find a Robot in Soviet Georgia","Penelope","Monroe"
"Juggler Hardly","A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California","Penelope","Monroe"
"Leathernecks Dwarfs","A Fateful Reflection of a Dog And a Mad Cow who must Outrace a Teacher in An Abandoned Mine Shaft","Penelope","Monroe"
"Money Harold","A Touching Tale of a Explorer And a Boat who must Defeat a Robot in Australia","Penelope","Monroe"
"Orange Grapes","A Astounding Documentary of a Butler And a Womanizer who must Face a Dog in A U-Boat","Penelope","Monroe"
"Order Betrayed","A Amazing Saga of a Dog And a A Shark who must Challenge a Cat in The Sahara Desert","Penelope","Monroe"
"Park Citizen","A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan","Penelope","Monroe"
"Pittsburgh Hunchback","A Thrilling Epistle of a Boy And a Boat who must Find a Student in Soviet Georgia","Penelope","Monroe"
"Poseidon Forever","A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery","Penelope","Monroe"
"Range Moonwalker","A Insightful Documentary of a Hunter And a Dentist who must Confront a Crocodile in A Baloon","Penelope","Monroe"
"Rear Trading","A Awe-Inspiring Reflection of a Forensic Psychologist And a Secret Agent who must Succumb a Pastry Chef in Soviet Georgia","Penelope","Monroe"
"Reef Salute","A Action-Packed Saga of a Teacher And a Lumberjack who must Battle a Dentist in A Baloon","Penelope","Monroe"
"Rouge Squad","A Awe-Inspiring Drama of a Astronaut And a Frisbee who must Conquer a Mad Scientist in Australia","Penelope","Monroe"
"Spirit Flintstones","A Brilliant Yarn of a Cat And a Car who must Confront a Explorer in Ancient Japan","Penelope","Monroe"
"Tomatoes Hellfighters","A Thoughtful Epistle of a Madman And a Astronaut who must Overcome a Monkey in A Shark Tank","Penelope","Monroe"
"Tourist Pelican","A Boring Story of a Butler And a Astronaut who must Outrace a Pioneer in Australia","Penelope","Monroe"
"Trip Newton","A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park","Penelope","Monroe"
"Wyoming Storm","A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat","Penelope","Monroe"
